"","class","x","y","z"
"1","DistinctClusters",11.87,80.37,"1"
"2","DistinctClusters",15.92,84.48,"1"
"3","DistinctClusters",10.82,71.99,"1"
"4","DistinctClusters",22.98,73.05,"1"
"5","DistinctClusters",16.65,72.92,"1"
"6","DistinctClusters",10.9,73.12,"1"
"7","DistinctClusters",17.44,73.17,"1"
"8","DistinctClusters",18.69,73.52,"1"
"9","DistinctClusters",17.88,82.21,"1"
"10","DistinctClusters",13.47,71.51,"1"
"11","DistinctClusters",22.56,73.06,"1"
"12","DistinctClusters",16.95,78.26,"1"
"13","DistinctClusters",11.89,80.62,"1"
"14","DistinctClusters",3.93,71.14,"1"
"15","DistinctClusters",20.62,72.46,"1"
"16","DistinctClusters",14.78,77.62,"1"
"17","DistinctClusters",14.92,80.09,"1"
"18","DistinctClusters",19.72,73.74,"1"
"19","DistinctClusters",19.11,67.85,"1"
"20","DistinctClusters",17.97,83.55,"1"
"21","DistinctClusters",19.59,82.18,"1"
"22","DistinctClusters",18.91,71.45,"1"
"23","DistinctClusters",15.37,74.67,"1"
"24","DistinctClusters",5.05,66.2,"1"
"25","DistinctClusters",18.1,77.85,"1"
"26","DistinctClusters",14.72,83.06,"1"
"27","DistinctClusters",14.22,66.81,"1"
"28","DistinctClusters",7.65,71.1,"1"
"29","DistinctClusters",12.61,71.79,"1"
"30","DistinctClusters",17.09,71.59,"1"
"31","DistinctClusters",21.79,64.83,"1"
"32","DistinctClusters",14.49,77.5,"1"
"33","DistinctClusters",16.94,67.34,"1"
"34","DistinctClusters",14.73,74.88,"1"
"35","DistinctClusters",8.11,77.96,"1"
"36","DistinctClusters",12.93,74.01,"1"
"37","DistinctClusters",13.03,79.46,"1"
"38","DistinctClusters",14.7,74.87,"1"
"39","DistinctClusters",20.5,71.76,"1"
"40","DistinctClusters",18.82,78.23,"1"
"41","DistinctClusters",14.18,72.83,"1"
"42","DistinctClusters",13.73,83.86,"1"
"43","DistinctClusters",18.48,74.91,"1"
"44","DistinctClusters",17.78,79.26,"1"
"45","DistinctClusters",11.56,76.03,"1"
"46","DistinctClusters",11.46,59.96,"1"
"47","DistinctClusters",16.82,68.17,"1"
"48","DistinctClusters",18.84,72.88,"1"
"49","DistinctClusters",14.44,76.18,"1"
"50","DistinctClusters",19.41,63.29,"1"
"51","DistinctClusters",16.99,79.81,"1"
"52","DistinctClusters",11.94,71.98,"1"
"53","DistinctClusters",16.71,71.24,"1"
"54","DistinctClusters",9.35,67.22,"1"
"55","DistinctClusters",22.17,67.73,"1"
"56","DistinctClusters",24.9,75.28,"1"
"57","DistinctClusters",13.16,77.55,"1"
"58","DistinctClusters",9.78,64.51,"1"
"59","DistinctClusters",17.85,69.98,"1"
"60","DistinctClusters",14.32,77.68,"1"
"61","DistinctClusters",27.01,72.73,"1"
"62","DistinctClusters",14.8,85.83,"1"
"63","DistinctClusters",18.45,81.23,"1"
"64","DistinctClusters",15.14,77.98,"1"
"65","DistinctClusters",11.28,75.02,"1"
"66","DistinctClusters",15.94,76.4,"1"
"67","DistinctClusters",5.98,71.47,"1"
"68","DistinctClusters",22.33,78.14,"1"
"69","DistinctClusters",15.77,82.4,"1"
"70","DistinctClusters",25.86,80.42,"1"
"71","DistinctClusters",17.38,70.93,"1"
"72","DistinctClusters",11.45,66.91,"1"
"73","DistinctClusters",18.05,74.45,"1"
"74","DistinctClusters",10.33,77.2,"1"
"75","DistinctClusters",8.73,81.75,"1"
"76","DistinctClusters",16.46,68.41,"1"
"77","DistinctClusters",12.78,76.82,"1"
"78","DistinctClusters",15.01,76.17,"1"
"79","DistinctClusters",15.37,80.97,"1"
"80","DistinctClusters",12.05,74.86,"1"
"81","DistinctClusters",12.16,73.21,"1"
"82","DistinctClusters",14.32,69.27,"1"
"83","DistinctClusters",20.89,72.41,"1"
"84","DistinctClusters",7.38,73.19,"1"
"85","DistinctClusters",17.97,86.75,"1"
"86","DistinctClusters",16.66,87.23,"1"
"87","DistinctClusters",20.32,74.17,"1"
"88","DistinctClusters",13.48,69.78,"1"
"89","DistinctClusters",16.85,65.14,"1"
"90","DistinctClusters",16.34,77.57,"1"
"91","DistinctClusters",12.29,69.55,"1"
"92","DistinctClusters",21.04,86.42,"1"
"93","DistinctClusters",20.8,70.57,"1"
"94","DistinctClusters",18.5,75.56,"1"
"95","DistinctClusters",22.93,94.05,"1"
"96","DistinctClusters",17.79,69.46,"1"
"97","DistinctClusters",8.62,76.54,"1"
"98","DistinctClusters",12.13,69.47,"1"
"99","DistinctClusters",8.88,76.74,"1"
"100","DistinctClusters",12.63,70.63,"1"
"101","DistinctClusters",11.9,75.39,"1"
"102","DistinctClusters",15.21,73.52,"1"
"103","DistinctClusters",10.45,69.08,"1"
"104","DistinctClusters",15.79,75.06,"1"
"105","DistinctClusters",11.73,79.96,"1"
"106","DistinctClusters",23.84,82.97,"1"
"107","DistinctClusters",18.58,68.14,"1"
"108","DistinctClusters",19.55,73.75,"1"
"109","DistinctClusters",16.92,80.8,"1"
"110","DistinctClusters",23.41,69.43,"1"
"111","DistinctClusters",11.82,62.36,"1"
"112","DistinctClusters",12.69,70.32,"1"
"113","DistinctClusters",22.16,70.16,"1"
"114","DistinctClusters",11.75,75.24,"1"
"115","DistinctClusters",13.96,72.98,"1"
"116","DistinctClusters",13.04,76.16,"1"
"117","DistinctClusters",13.4,72.89,"1"
"118","DistinctClusters",13.6,76.87,"1"
"119","DistinctClusters",17.47,73.17,"1"
"120","DistinctClusters",14.11,80.95,"1"
"121","DistinctClusters",12.47,71.31,"1"
"122","DistinctClusters",21.72,76.45,"1"
"123","DistinctClusters",13.93,70.58,"1"
"124","DistinctClusters",14.1,76.04,"1"
"125","DistinctClusters",14.5,74.76,"1"
"126","DistinctClusters",18.56,66.58,"1"
"127","DistinctClusters",14.63,74.28,"1"
"128","DistinctClusters",14.81,80.9,"1"
"129","DistinctClusters",11.59,78.41,"1"
"130","DistinctClusters",13.38,75.72,"1"
"131","DistinctClusters",15.3,69.04,"1"
"132","DistinctClusters",12.06,80.85,"1"
"133","DistinctClusters",17.66,75.4,"1"
"134","DistinctClusters",7.41,72.74,"1"
"135","DistinctClusters",16.53,83.21,"1"
"136","DistinctClusters",7.32,71.15,"1"
"137","DistinctClusters",13.5,76.52,"1"
"138","DistinctClusters",12.36,81.41,"1"
"139","DistinctClusters",11.74,78.01,"1"
"140","DistinctClusters",14.72,73.46,"1"
"141","DistinctClusters",5.43,72.91,"1"
"142","DistinctClusters",20.88,76.78,"1"
"143","DistinctClusters",6.68,77.57,"1"
"144","DistinctClusters",12.68,75.09,"1"
"145","DistinctClusters",9.42,81.59,"1"
"146","DistinctClusters",11.25,74.67,"1"
"147","DistinctClusters",25.44,71.5,"1"
"148","DistinctClusters",15.09,77.69,"1"
"149","DistinctClusters",8.57,63.99,"1"
"150","DistinctClusters",6.8,76.96,"1"
"151","DistinctClusters",17.25,77.48,"1"
"152","DistinctClusters",14.91,73.88,"1"
"153","DistinctClusters",13.41,69.41,"1"
"154","DistinctClusters",10.35,73.03,"1"
"155","DistinctClusters",7.56,82.75,"1"
"156","DistinctClusters",9.62,71.28,"1"
"157","DistinctClusters",20,63.34,"1"
"158","DistinctClusters",11.89,79.06,"1"
"159","DistinctClusters",8.08,72.49,"1"
"160","DistinctClusters",24.35,72.45,"1"
"161","DistinctClusters",17.13,68.92,"1"
"162","DistinctClusters",13.81,74.89,"1"
"163","DistinctClusters",20.29,78.51,"1"
"164","DistinctClusters",19.43,72.06,"1"
"165","DistinctClusters",11.9,71.97,"1"
"166","DistinctClusters",26.03,80.48,"1"
"167","DistinctClusters",13.72,73.76,"1"
"168","DistinctClusters",7.88,74.2,"1"
"169","DistinctClusters",14.28,71.87,"1"
"170","DistinctClusters",16.04,79.5,"1"
"171","DistinctClusters",26.54,70.03,"1"
"172","DistinctClusters",15.53,79.25,"1"
"173","DistinctClusters",17.28,79.03,"1"
"174","DistinctClusters",14.61,72.66,"1"
"175","DistinctClusters",13.33,79.24,"1"
"176","DistinctClusters",14.83,79.93,"1"
"177","DistinctClusters",18.94,77.88,"1"
"178","DistinctClusters",25.38,85.12,"1"
"179","DistinctClusters",20.14,65.19,"1"
"180","DistinctClusters",21.04,69.18,"1"
"181","DistinctClusters",8.84,68.12,"1"
"182","DistinctClusters",19.92,75.84,"1"
"183","DistinctClusters",16.1,82.92,"1"
"184","DistinctClusters",7.66,83.39,"1"
"185","DistinctClusters",17.61,77.44,"1"
"186","DistinctClusters",14.21,79.39,"1"
"187","DistinctClusters",22.32,74.28,"1"
"188","DistinctClusters",11.17,77.34,"1"
"189","DistinctClusters",12.85,76.88,"1"
"190","DistinctClusters",10.37,71.19,"1"
"191","DistinctClusters",14.11,73.53,"1"
"192","DistinctClusters",17.01,74.33,"1"
"193","DistinctClusters",11.34,81.97,"1"
"194","DistinctClusters",19.15,69.82,"1"
"195","DistinctClusters",8.96,64.43,"1"
"196","DistinctClusters",9.76,78.84,"1"
"197","DistinctClusters",22.21,70.92,"1"
"198","DistinctClusters",9.92,72.82,"1"
"199","DistinctClusters",17.06,79.52,"1"
"200","DistinctClusters",13.09,71.18,"1"
"201","DistinctClusters",17.05,73.29,"1"
"202","DistinctClusters",23.44,82.51,"1"
"203","DistinctClusters",22.93,77.64,"1"
"204","DistinctClusters",13.35,77.71,"1"
"205","DistinctClusters",3.57,74.32,"1"
"206","DistinctClusters",27.49,69.32,"1"
"207","DistinctClusters",18.34,67.52,"1"
"208","DistinctClusters",17.71,73.88,"1"
"209","DistinctClusters",14.93,85.01,"1"
"210","DistinctClusters",17.55,76.11,"1"
"211","DistinctClusters",14.18,75.82,"1"
"212","DistinctClusters",17.1,76.66,"1"
"213","DistinctClusters",13,73.07,"1"
"214","DistinctClusters",8.15,68.01,"1"
"215","DistinctClusters",19.94,88.38,"1"
"216","DistinctClusters",22.6,72.88,"1"
"217","DistinctClusters",13.46,73.51,"1"
"218","DistinctClusters",8.73,66.04,"1"
"219","DistinctClusters",18.21,73.76,"1"
"220","DistinctClusters",14.78,73.76,"1"
"221","DistinctClusters",6.33,73.72,"1"
"222","DistinctClusters",15.01,66.07,"1"
"223","DistinctClusters",11.85,83.92,"1"
"224","DistinctClusters",13.3,83.82,"1"
"225","DistinctClusters",9.22,78.45,"1"
"226","DistinctClusters",24.02,69.5,"1"
"227","DistinctClusters",13.34,78.57,"1"
"228","DistinctClusters",6.97,73.77,"1"
"229","DistinctClusters",15.99,73.4,"1"
"230","DistinctClusters",16.32,81.81,"1"
"231","DistinctClusters",10.07,68.86,"1"
"232","DistinctClusters",0.56,72.44,"1"
"233","DistinctClusters",11.8,71.34,"1"
"234","DistinctClusters",17.85,75.1,"1"
"235","DistinctClusters",14.7,67.14,"1"
"236","DistinctClusters",14.51,71.48,"1"
"237","DistinctClusters",17.8,78.58,"1"
"238","DistinctClusters",9.07,77.33,"1"
"239","DistinctClusters",20.48,70.13,"1"
"240","DistinctClusters",14.97,77.8,"1"
"241","DistinctClusters",18.54,62.84,"1"
"242","DistinctClusters",20.17,73.3,"1"
"243","DistinctClusters",16.12,78.57,"1"
"244","DistinctClusters",10.61,71.7,"1"
"245","DistinctClusters",20.81,74.82,"1"
"246","DistinctClusters",5,67.03,"1"
"247","DistinctClusters",12.28,79.24,"1"
"248","DistinctClusters",13.72,65.75,"1"
"249","DistinctClusters",14.17,73.38,"1"
"250","DistinctClusters",20.1,73.72,"1"
"251","DistinctClusters",15.68,75.3,"1"
"252","DistinctClusters",17.04,70.88,"1"
"253","DistinctClusters",14.65,84.15,"1"
"254","DistinctClusters",13.76,67.85,"1"
"255","DistinctClusters",18.48,76.27,"1"
"256","DistinctClusters",20.73,60.3,"1"
"257","DistinctClusters",2.98,75.01,"1"
"258","DistinctClusters",17.86,77.55,"1"
"259","DistinctClusters",16.87,69.58,"1"
"260","DistinctClusters",12.87,78.52,"1"
"261","DistinctClusters",19.76,76.65,"1"
"262","DistinctClusters",13.05,79.88,"1"
"263","DistinctClusters",13.58,70.78,"1"
"264","DistinctClusters",19.29,70.15,"1"
"265","DistinctClusters",23.6,66.14,"1"
"266","DistinctClusters",16.35,73.39,"1"
"267","DistinctClusters",12.89,68.31,"1"
"268","DistinctClusters",9.05,78.44,"1"
"269","DistinctClusters",13.34,75.36,"1"
"270","DistinctClusters",10.3,85.95,"1"
"271","DistinctClusters",13.71,69.21,"1"
"272","DistinctClusters",16.97,80.91,"1"
"273","DistinctClusters",10.74,72.36,"1"
"274","DistinctClusters",28.25,67.72,"1"
"275","DistinctClusters",15.78,77.86,"1"
"276","DistinctClusters",20.65,67.83,"1"
"277","DistinctClusters",3.55,69.72,"1"
"278","DistinctClusters",18.71,71.33,"1"
"279","DistinctClusters",8.42,76.05,"1"
"280","DistinctClusters",19.6,70.01,"1"
"281","DistinctClusters",16.99,80.39,"1"
"282","DistinctClusters",12.96,69.01,"1"
"283","DistinctClusters",21.62,76.08,"1"
"284","DistinctClusters",11.49,75.72,"1"
"285","DistinctClusters",12.1,69.67,"1"
"286","DistinctClusters",9.99,72.86,"1"
"287","DistinctClusters",11.66,71.72,"1"
"288","DistinctClusters",19.73,79.8,"1"
"289","DistinctClusters",17.17,82.78,"1"
"290","DistinctClusters",20.03,69.8,"1"
"291","DistinctClusters",13.05,79.65,"1"
"292","DistinctClusters",16.88,74.62,"1"
"293","DistinctClusters",16.22,65.16,"1"
"294","DistinctClusters",7.87,71.22,"1"
"295","DistinctClusters",23.89,77.31,"1"
"296","DistinctClusters",15.67,75.73,"1"
"297","DistinctClusters",18.83,62.79,"1"
"298","DistinctClusters",19.78,77.9,"1"
"299","DistinctClusters",14.75,78.28,"1"
"300","DistinctClusters",13.47,73.48,"1"
"301","DistinctClusters",19.47,71.46,"1"
"302","DistinctClusters",9.76,84.86,"1"
"303","DistinctClusters",24.86,74.55,"1"
"304","DistinctClusters",13.08,74.93,"1"
"305","DistinctClusters",23.27,69.38,"1"
"306","DistinctClusters",22.56,68.28,"1"
"307","DistinctClusters",15.41,67.38,"1"
"308","DistinctClusters",17.84,72.89,"1"
"309","DistinctClusters",9.88,81.8,"1"
"310","DistinctClusters",16.62,83.77,"1"
"311","DistinctClusters",20.22,82.84,"1"
"312","DistinctClusters",15.5,81.48,"1"
"313","DistinctClusters",12.73,73.81,"1"
"314","DistinctClusters",11.72,68.88,"1"
"315","DistinctClusters",14.82,73.36,"1"
"316","DistinctClusters",20.35,62.94,"1"
"317","DistinctClusters",12.58,73.43,"1"
"318","DistinctClusters",14.39,83.3,"1"
"319","DistinctClusters",8.53,75.65,"1"
"320","DistinctClusters",17.47,80.48,"1"
"321","DistinctClusters",21.54,77.45,"1"
"322","DistinctClusters",22.49,71.11,"1"
"323","DistinctClusters",19.07,83.72,"1"
"324","DistinctClusters",5.65,74.61,"1"
"325","DistinctClusters",17.41,70.12,"1"
"326","DistinctClusters",17.28,75.35,"1"
"327","DistinctClusters",13.23,67.41,"1"
"328","DistinctClusters",15.85,79.32,"1"
"329","DistinctClusters",10.68,77.51,"1"
"330","DistinctClusters",18.4,73.23,"1"
"331","DistinctClusters",13.36,72.56,"1"
"332","DistinctClusters",7.15,79.68,"1"
"333","DistinctClusters",13.16,69.69,"1"
"334","DistinctClusters",21.82,70.08,"1"
"335","DistinctClusters",13.33,77.12,"1"
"336","DistinctClusters",18.66,72.74,"1"
"337","DistinctClusters",19.73,79.63,"1"
"338","DistinctClusters",15.02,74.01,"1"
"339","DistinctClusters",13.24,80.97,"1"
"340","DistinctClusters",12.35,77.48,"1"
"341","DistinctClusters",18.7,63.77,"1"
"342","DistinctClusters",9.68,68.32,"1"
"343","DistinctClusters",16.23,81.41,"1"
"344","DistinctClusters",13.55,78.45,"1"
"345","DistinctClusters",3.68,70.16,"1"
"346","DistinctClusters",7.96,68.27,"1"
"347","DistinctClusters",19.58,80.17,"1"
"348","DistinctClusters",14.04,70.94,"1"
"349","DistinctClusters",19.02,84.01,"1"
"350","DistinctClusters",24.44,83.86,"1"
"351","DistinctClusters",22.37,67.73,"1"
"352","DistinctClusters",18.39,70.77,"1"
"353","DistinctClusters",16.9,68.75,"1"
"354","DistinctClusters",14.04,78.34,"1"
"355","DistinctClusters",22.89,68.55,"1"
"356","DistinctClusters",17.98,64.82,"1"
"357","DistinctClusters",9.13,85.11,"1"
"358","DistinctClusters",14.22,80.03,"1"
"359","DistinctClusters",5.41,79.09,"1"
"360","DistinctClusters",14.02,71.68,"1"
"361","DistinctClusters",2.04,74.94,"1"
"362","DistinctClusters",21.57,78.1,"1"
"363","DistinctClusters",11.82,68.59,"1"
"364","DistinctClusters",12.85,74.38,"1"
"365","DistinctClusters",14.15,75.88,"1"
"366","DistinctClusters",18.06,83.46,"1"
"367","DistinctClusters",18.39,78.21,"1"
"368","DistinctClusters",17.84,81.41,"1"
"369","DistinctClusters",12.14,75.7,"1"
"370","DistinctClusters",8.18,69.44,"1"
"371","DistinctClusters",13.06,73.3,"1"
"372","DistinctClusters",16.39,66.68,"1"
"373","DistinctClusters",10.88,79.64,"1"
"374","DistinctClusters",14.66,82.08,"1"
"375","DistinctClusters",9.16,74.69,"1"
"376","DistinctClusters",14.96,70.1,"1"
"377","DistinctClusters",15.64,80.44,"1"
"378","DistinctClusters",14.27,75.7,"1"
"379","DistinctClusters",14.18,73.07,"1"
"380","DistinctClusters",23.82,80.62,"1"
"381","DistinctClusters",18.81,71.2,"1"
"382","DistinctClusters",20.56,80.74,"1"
"383","DistinctClusters",10.38,70.79,"1"
"384","DistinctClusters",15.82,76.96,"1"
"385","DistinctClusters",20.77,79.46,"1"
"386","DistinctClusters",14.72,68.32,"1"
"387","DistinctClusters",4.35,76.99,"1"
"388","DistinctClusters",16.72,74.44,"1"
"389","DistinctClusters",5.48,78.38,"1"
"390","DistinctClusters",10.94,71.06,"1"
"391","DistinctClusters",21.62,74.57,"1"
"392","DistinctClusters",18.08,81.91,"1"
"393","DistinctClusters",20.46,75.84,"1"
"394","DistinctClusters",16.53,79.12,"1"
"395","DistinctClusters",14.45,73.9,"1"
"396","DistinctClusters",10.38,69.85,"1"
"397","DistinctClusters",22.96,74.95,"1"
"398","DistinctClusters",15.23,68.88,"1"
"399","DistinctClusters",11.42,62.02,"1"
"400","DistinctClusters",19.33,80.85,"1"
"401","DistinctClusters",43.48,10.66,"2"
"402","DistinctClusters",39.04,31.54,"2"
"403","DistinctClusters",55.97,8.86,"2"
"404","DistinctClusters",49.93,7.36,"2"
"405","DistinctClusters",46.4,24.19,"2"
"406","DistinctClusters",48.93,25.44,"2"
"407","DistinctClusters",47.44,18.82,"2"
"408","DistinctClusters",55.98,18.76,"2"
"409","DistinctClusters",54.37,24.35,"2"
"410","DistinctClusters",39.64,28.39,"2"
"411","DistinctClusters",52.12,10.46,"2"
"412","DistinctClusters",54.36,27.83,"2"
"413","DistinctClusters",54.01,21.18,"2"
"414","DistinctClusters",35.45,17.96,"2"
"415","DistinctClusters",48.59,27.59,"2"
"416","DistinctClusters",61.88,25.64,"2"
"417","DistinctClusters",54.78,27.67,"2"
"418","DistinctClusters",39.74,18.25,"2"
"419","DistinctClusters",40.02,24.66,"2"
"420","DistinctClusters",52.95,21.77,"2"
"421","DistinctClusters",48.96,16.9,"2"
"422","DistinctClusters",55.77,30.54,"2"
"423","DistinctClusters",51.76,20.97,"2"
"424","DistinctClusters",50.49,19.67,"2"
"425","DistinctClusters",51.1,23.17,"2"
"426","DistinctClusters",51,22.34,"2"
"427","DistinctClusters",42.38,15.77,"2"
"428","DistinctClusters",64.1,19.68,"2"
"429","DistinctClusters",41.53,35.64,"2"
"430","DistinctClusters",49.9,19.56,"2"
"431","DistinctClusters",46.73,18.22,"2"
"432","DistinctClusters",60.8,24.41,"2"
"433","DistinctClusters",56.07,22.41,"2"
"434","DistinctClusters",46.62,16.77,"2"
"435","DistinctClusters",51.23,13.5,"2"
"436","DistinctClusters",56.99,25.09,"2"
"437","DistinctClusters",63.42,20.71,"2"
"438","DistinctClusters",51.81,22.89,"2"
"439","DistinctClusters",43.74,18.25,"2"
"440","DistinctClusters",44.1,10.09,"2"
"441","DistinctClusters",62.03,20.41,"2"
"442","DistinctClusters",37.58,34.34,"2"
"443","DistinctClusters",68.33,11.23,"2"
"444","DistinctClusters",48.43,14.09,"2"
"445","DistinctClusters",47.27,11.98,"2"
"446","DistinctClusters",50.95,17.81,"2"
"447","DistinctClusters",55.6,28.29,"2"
"448","DistinctClusters",51.82,19.08,"2"
"449","DistinctClusters",38.26,18.47,"2"
"450","DistinctClusters",52.12,12.27,"2"
"451","DistinctClusters",52.7,20.39,"2"
"452","DistinctClusters",53.96,26.21,"2"
"453","DistinctClusters",43.81,33.56,"2"
"454","DistinctClusters",35.77,27.89,"2"
"455","DistinctClusters",48.05,14.78,"2"
"456","DistinctClusters",44.33,16.98,"2"
"457","DistinctClusters",45.4,23.64,"2"
"458","DistinctClusters",44.28,19.94,"2"
"459","DistinctClusters",47.61,21.65,"2"
"460","DistinctClusters",48.13,12.13,"2"
"461","DistinctClusters",54.78,17.44,"2"
"462","DistinctClusters",55.92,14.44,"2"
"463","DistinctClusters",45.23,14.43,"2"
"464","DistinctClusters",48.15,15.69,"2"
"465","DistinctClusters",52.17,17.51,"2"
"466","DistinctClusters",58.39,19.97,"2"
"467","DistinctClusters",49.66,23.8,"2"
"468","DistinctClusters",39.81,16.94,"2"
"469","DistinctClusters",51.39,14.86,"2"
"470","DistinctClusters",49.29,29.7,"2"
"471","DistinctClusters",60.63,25.96,"2"
"472","DistinctClusters",52.06,24.18,"2"
